timestamp,symbol,funding_zscore,oi_expansion_rate,taker_delta,pressure_score,squeeze_probability,flow_state,whale_activity,squeeze_risk,funding_warning,flow_adjustment,final_score
2026-05-15T08:31:04.147011+00:00,MUUSDT,-0.31941030329885767,9.419250800000786,-0.22147753236862136,55.57646492955382,30.0,NEUTRAL FLOW,NORMAL,LOW,,0,15
2026-05-15T08:31:04.459862+00:00,ADAUSDT,-1.0629021887166206,0.11505528904653128,-0.34211257770817655,37.89890498429691,20.0,NEUTRAL FLOW,SELL PRESSURE,LOW,,0,15
2026-05-15T08:31:04.777515+00:00,INJUSDT,0.23039432355362088,0.2585706497657477,-0.4876844775921303,32.52666317257031,20.0,NEUTRAL FLOW,SELL PRESSURE,LOW,,0,15
2026-05-15T08:31:05.097999+00:00,LINKUSDT,-1.6810852549833777,0.4528667719910365,-0.6513128598024539,27.53410675873069,20.0,NEUTRAL FLOW,SELL PRESSURE,LOW,,0,15
2026-05-15T08:31:05.431774+00:00,PLAYUSDT,-2.3793773693978855,-2.7165066510514246,-0.35500351062886115,32.62163984540978,20.0,NEUTRAL FLOW,SELL PRESSURE,LOW,SHORTS CROWDED,5,20
2026-05-15T08:31:05.752177+00:00,AVAXUSDT,-0.17831002068442436,-1.9770159198076027,-0.5999859001022243,25.707235081684114,20.0,NEUTRAL FLOW,SELL PRESSURE,LOW,,0,15
2026-05-15T08:31:06.201104+00:00,UBUSDT,-0.3408910103416417,-2.4968805573846296,-0.015535202286997977,46.32803781410215,0.0,NEUTRAL FLOW,NORMAL,LOW,,0,15
2026-05-15T08:31:06.722321+00:00,TAOUSDT,0.9322225748878333,-0.5224168444820095,-0.6463877989847265,26.239562632581237,20.0,NEUTRAL FLOW,SELL PRESSURE,LOW,,0,15
2026-05-15T08:31:07.213673+00:00,MLNUSDT,-5.696029541177281,-20.234304251591947,-0.5635333062444782,14.391098745559624,45.0,NEUTRAL FLOW,SELL PRESSURE,MODERATE,SHORTS CROWDED,5,5
2026-05-15T08:31:07.899426+00:00,SIRENUSDT,-0.3781755513917425,-0.2769629033227118,-0.10603968705162566,46.069668857985,25.0,NEUTRAL FLOW,NORMAL,LOW,SHORTS CROWDED,5,5
2026-05-15T08:35:11.378423+00:00,XAUUSDT,3.9313357434920113,4.60017998085119,0.020977380967038557,57.460933767503185,30.0,NEUTRAL FLOW,NORMAL,LOW,LONGS CROWDED,-10,45
